"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"13","Ilex mucronata","mountain holly","Plantae","2022-08-26","Acadia National Park, Birch Harbor, ME, US",44.3365216667,-68.0639805,5,3634893,"false","https://www.inaturalist.org/observations/132483307","https://inaturalist-open-data.s3.amazonaws.com/photos/225604921/medium.jpg"
"14","Onoclea sensibilis","sensitive fern","Plantae","2022-08-26","Acadia National Park, Birch Harbor, ME, US",44.3401616667,-68.0639638333,10,3634893,"false","https://www.inaturalist.org/observations/132482242","https://inaturalist-open-data.s3.amazonaws.com/photos/225602992/medium.jpg"
"15","Abies balsamea","balsam fir","Plantae","2022-08-26","Acadia National Park, Birch Harbor, ME, US",44.33602,-68.0666416667,5,3634893,"false","https://www.inaturalist.org/observations/132481833","https://inaturalist-open-data.s3.amazonaws.com/photos/225602303/medium.jpg"
"16","Comptonia peregrina","sweetfern","Plantae","2022-08-26","Acadia National Park, Mount Desert, ME, US",44.3091414941,-68.2293922949,2346,5803924,"false","https://www.inaturalist.org/observations/132466496","https://inaturalist-open-data.s3.amazonaws.com/photos/225574305/medium.jpg"
"17","Linaria vulgaris","common toadflax","Plantae","2022-08-26","Acadia National Park, Mount Desert, ME, US",44.3108044239,-68.227054244,3,5803924,"false","https://www.inaturalist.org/observations/132465683","https://inaturalist-open-data.s3.amazonaws.com/photos/225574254/medium.jpg"
"18","Trifolium aureum","large hop clover","Plantae","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3909383333,-68.2292166667,13,5324414,"false","https://www.inaturalist.org/observations/132463794","https://static.inaturalist.org/photos/225569294/medium.jpg"
"19","Viburnum cassinoides","northern wild raisin","Plantae","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3886866667,-68.2243583333,17,5324414,"false","https://www.inaturalist.org/observations/132463345","https://static.inaturalist.org/photos/225568571/medium.jpg"
"20","Apios americana","american groundnut","Plantae","2022-08-26","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3629543728,-68.2076376991,5,1365546,"false","https://www.inaturalist.org/observations/132459200","https://inaturalist-open-data.s3.amazonaws.com/photos/225560669/medium.jpg"
"21","Lobelia cardinalis","cardinal flower","Plantae","2022-08-26","Acadia National Park, Bar Harbor, ME, US",44.3625145639,-68.2082283218,10,1365546,"false","https://www.inaturalist.org/observations/132457004","https://inaturalist-open-data.s3.amazonaws.com/photos/225556978/medium.jpg"
"22","Osmunda claytoniana","interrupted fern","Plantae","2022-08-26","Acadia National Park, Bar Harbor, ME, US",44.3630082837,-68.2089302557,10,1365546,"false","https://www.inaturalist.org/observations/132456506","https://inaturalist-open-data.s3.amazonaws.com/photos/225556760/medium.jpg"
"23","Dryobates villosus","hairy woodpecker","Aves","2022-08-24","Acadia National Park, Bar Harbor, ME, US",44.3319366667,-68.1868533333,4,3678226,"false","https://www.inaturalist.org/observations/132450503","https://static.inaturalist.org/photos/225546067/medium.jpg"
"24","Larus marinus","great black-backed gull","Aves","2022-08-26","Acadia National Park, Southwest Harbor, ME, US",44.2287402623,-68.3109063165,188,1910545,"false","https://www.inaturalist.org/observations/132449023","https://inaturalist-open-data.s3.amazonaws.com/photos/225542816/medium.jpg"
"25","Monotropa uniflora","ghost pipe","Plantae","2022-08-26","Acadia National Park, Bar Harbor, ME, US",44.3665995263,-68.2127740794,10,1365546,"false","https://www.inaturalist.org/observations/132446377","https://inaturalist-open-data.s3.amazonaws.com/photos/225552316/medium.jpg"
