scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.3227223,-68.201829,NA,NA,NA,NA,https://ebird.org/checklist/S118285824,NA
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118302855,NA
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.366956,-68.076409,NA,NA,NA,NA,https://ebird.org/checklist/S118284639,NA
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.3437783,-68.0510817,NA,NA,NA,NA,https://ebird.org/checklist/S118285948,NA
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.3329687,-68.2666183,NA,NA,NA,NA,https://ebird.org/checklist/S118313838,NA
Larus argentatus,herring gull,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Larus argentatus,herring gull,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Larus argentatus,herring gull,Aves,2022-09-06,NA,44.3489122,-68.1854868,NA,NA,NA,NA,https://ebird.org/checklist/S118216939,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118561533,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.3080944,-68.3550911,NA,NA,NA,NA,https://ebird.org/checklist/S118561619,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.3068379,-68.3367205,NA,NA,NA,NA,https://ebird.org/checklist/S118559715,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558907,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118557302,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-12,NA,44.3656489,-68.2081032,NA,NA,NA,NA,https://ebird.org/checklist/S118559570,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-11,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118523112,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-11,NA,44.3775634,-68.2286766,NA,NA,NA,NA,https://ebird.org/checklist/S118533888,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-11,NA,44.2959643,-68.2408261,NA,NA,NA,NA,https://ebird.org/checklist/S118524480,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-11,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118505143,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-11,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118501519,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118458082,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.4267926,-68.3651733,NA,NA,NA,NA,https://ebird.org/checklist/S118456564,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118455047,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118447788,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118559269,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.3500922,-68.0540156,NA,NA,NA,NA,https://ebird.org/checklist/S118393161,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118393122,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.390837,-68.235699,NA,NA,NA,NA,https://ebird.org/checklist/S118386540,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.3319015,-68.186077,NA,NA,NA,NA,https://ebird.org/checklist/S118393530,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-09,NA,44.3688395,-68.2719612,NA,NA,NA,NA,https://ebird.org/checklist/S118434756,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-08,NA,44.3985285,-68.2063437,NA,NA,NA,NA,https://ebird.org/checklist/S118339264,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-08,NA,44.3481336,-68.2717656,NA,NA,NA,NA,https://ebird.org/checklist/S118359071,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.366956,-68.076409,NA,NA,NA,NA,https://ebird.org/checklist/S118284639,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.3437783,-68.0510817,NA,NA,NA,NA,https://ebird.org/checklist/S118285948,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.3329687,-68.2666183,NA,NA,NA,NA,https://ebird.org/checklist/S118313838,NA
